contract_award_unique_key,award_id_piid,parent_award_id_piid,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award,base_and_all_options_value,potential_total_value_of_award,primary_place_of_performance_city_name,primary_place_of_performance_state_code,type_of_contract_pricing,contract_bundling,naics_description,extent_competed,solicitation_procedures,type_of_set_aside,evaluated_preference,number_of_offers_received,commercial_item_acquisition_procedures,small_business_competitiveness_demonstration_program,performance_based_service_acquisition,multi_year_contract,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business
CONT_AWD_68HE0M21P0071_6800_-NONE-_-NONE-,68HE0M21P0071,,16863.27,16863.27,16863.27,16863.27,16863.27,16863.27,ANN ARBOR,MI,FIRM FIXED PRICE,NOT BUNDLED,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,10,COMMERCIAL ITEM,f,NOT APPLICABLE,,t,t,f,t,t,f,f,f,f,f
CONT_AWD_68HE0820F0081_6800_68HE0820D0002_6800,68HE0820F0081,68HE0820D0002,0,500000,0,1038678,0,1038678,DENVER,CO,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0521F0091_6800_68HE0118D0016_6800,68HE0521F0091,68HE0118D0016,0,436114.82,0,1613851.27,0,1613851.27,MILWAUKEE,WI,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,t,f,f,f,f,t,f
CONT_AWD_68HE0520F0092_6800_68HE0118D0016_6800,68HE0520F0092,68HE0118D0016,585584.29,935584.29,2869.39,936059.86,2869.39,936059.86,MILWAUKEE,WI,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,f,f,f,f,t,f
CONT_AWD_68HE0421P0015_6800_-NONE-_-NONE-,68HE0421P0015,,0,22454,0,22454,0,22454,ATLANTA,GA,FIRM FIXED PRICE,NOT BUNDLED,FLOORING CONTRACTORS,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,WOMEN OWNED SMALL BUSINESS,NO PREFERENCE USED,2,COMMERCIAL ITEM,f,NOT APPLICABLE,,t,t,t,f,f,f,f,f,f,f
CONT_AWD_0024_6800_EPW13016_6800,0024,EPW13016,-2263,98378,-2263,98378,-2263,98378,SILVER SPRING,MD,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21F0035_6800_68HERH20D0014_6800,68HERH21F0035,68HERH20D0014,100000,633000,100000,638000,100000,638000,EL DORADO HILLS,CA,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,f,f,f,t,f,f
CONT_AWD_68HE0H18F1490_6800_EPW15012_6800,68HE0H18F1490,EPW15012,-0.89,558246.5,0,579261.37,0,579261.37,WASHINGTON,DC,TIME AND MATERIALS,NOT BUNDLED,OTHER COMPUTER RELATED SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,t,f,f,t,f,t,f,f,f,f
CONT_AWD_68HE0719C0001_6800_-NONE-_-NONE-,68HE0719C0001,,0,1660250.81,0,1664790.49,0,2482005.98,SEATTLE,WA,FIRM FIXED PRICE,NOT BUNDLED,GENERAL WAREHOUSING AND STORAGE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,SERVICE DISABLED VETERAN OWNED SMALL BUSINESS SET-ASIDE,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0B21P0599_6800_-NONE-_-NONE-,68HE0B21P0599,,66000.6,66000.6,66000.6,66000.6,66000.6,66000.6,SANTA CLARA,CA,FIRM FIXED PRICE,NOT BUNDLED,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERD19F0011_6800_EPD16021_6800,68HERD19F0011,EPD16021,20987.7,79419.7,20987.7,79419.7,20987.7,79419.7,CORVALLIS,OR,FIRM FIXED PRICE,NOT BUNDLED,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0M21F0043_6800_GS24F0066M_4730,68HE0M21F0043,GS24F0066M,70190.36,70190.36,70190.36,70190.36,70190.36,70190.36,ANN ARBOR,MI,FIRM FIXED PRICE,NOT BUNDLED,"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM,f,NOT APPLICABLE,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21F0030_6800_68HERH20D0009_6800,68HERH21F0030,68HERH20D0009,100000,4235735.55,100000,4242735.55,100000,4242735.55,HATTIESBURG,MS,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_0023_6800_EPW13016_6800,0023,EPW13016,40000,586562,43711,594449,43711,594449,SILVER SPRING,MD,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0921F0063_6800_EPS91401_6800,68HE0921F0063,EPS91401,1080188.85,2007411.43,1080188.85,2007411.43,1080188.85,2007411.43,SAN LUIS OBISPO,CA,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,ARCHITECT-ENGINEER FAR 6.102,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21P0142_6800_-NONE-_-NONE-,68HERH21P0142,,7678,7678,7678,7678,27678,27678,JACKSONVILLE,FL,FIRM FIXED PRICE,NOT BUNDLED,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0B21F0144_6800_EPBPA17D0001_6800,68HE0B21F0144,EPBPA17D0001,11174.98,11174.98,11174.98,11174.98,11174.98,11174.98,DURHAM,NC,FIRM FIXED PRICE,NOT BUNDLED,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0521F0082_6800_68HE0118D0010_6800,68HE0521F0082,68HE0118D0010,30704,140450.92,0,817690.39,0,817690.39,CHANTILLY,VA,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0221F0073_6800_EPS21602_6800,68HE0221F0073,EPS21602,813704.34,813704.34,813704.34,813704.34,813704.34,813704.34,NEW YORK,NY,TIME AND MATERIALS,NOT BUNDLED,LIBRARIES AND ARCHIVES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,f,f,t,f,f,f
CONT_AWD_68HE0520F0084_6800_EPS41602_6800,68HE0520F0084,EPS41602,850000,3965271.75,850000,3965271.75,850000,3965271.75,MC COOK,IL,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0521F0080_6800_68HE0118D0010_6800,68HE0521F0080,68HE0118D0010,23797,110702,4779,821824,4779,821824,CHANTILLY,VA,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0521F0123_6800_68HERH19D0021_6800,68HE0521F0123,68HERH19D0021,15000,15000,188794.86,188794.86,188794.86,188794.86,SOUTH BEND,IN,FIRM FIXED PRICE,NOT BUNDLED,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0521F0134_6800_EPS41602_6800,68HE0521F0134,EPS41602,400000,108571.07,400000,108571.07,400000,108571.07,CHICAGO,IL,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0321F0079_6800_EPS31702_6800,68HE0321F0079,EPS31702,12000,12000,12000,12000,12000,12000,NEWARK,DE,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0321F0080_6800_EPS31702_6800,68HE0321F0080,EPS31702,15000,15000,15000,15000,15000,15000,NEWARK,DE,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0221F0077_6800_68HE0220D0002_6800,68HE0221F0077,68HE0220D0002,80000,80000,80000,80000,80000,80000,RIDGEWOOD,NY,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21F0031_6800_68HERH20D0010_6800,68HERH21F0031,68HERH20D0010,100000,1622500,100000,1627500,100000,1627500,WILMINGTON,NC,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0721F0125_6800_68HE0718D0003_6800,68HE0721F0125,68HE0718D0003,69000,69000,69000,69000,69000,69000,POTOSI,MO,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0B21F0026_6800_GS07F154CA_4732,68HE0B21F0026,GS07F154CA,0,14775,0,14775,0,14775,PLEASANT PRAIRIE,WI,FIRM FIXED PRICE,NOT BUNDLED,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,4,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21F0285_6800_68HERH20D0009_6800,68HERH21F0285,68HERH20D0009,0,17000,0,17000,0,17000,HATTIESBURG,MS,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0121F0040_6800_GS10F0160U_4730,68HE0121F0040,GS10F0160U,24102.3,24102.3,24102.3,24102.3,24102.3,24102.3,BOSTON,MA,FIRM FIXED PRICE,NOT BUNDLED,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0121F0031_6800_68HE0121D0005_6800,68HE0121F0031,68HE0121D0005,900000,1400000,900000,1400000,900000,1400000,SMITHFIELD,RI,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0521F0079_6800_68HE0118D0010_6800,68HE0521F0079,68HE0118D0010,24150.95,98877.24,0,456775.57,0,456775.57,CHANTILLY,VA,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC19F0314_6800_GS07F0117N_4730,68HERC19F0314,GS07F0117N,57600,196800,57600,196800,0,249600,CORVALLIS,OR,FIRM FIXED PRICE,NOT BUNDLED,PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0921F0016_6800_68HE0919D0001_6800,68HE0921F0016,68HE0919D0001,225000,1184000,225000,1184000,225000,1184000,HARBOR CITY,CA,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HE0321F0081_6800_47QSEA19D0074_4732,68HE0321F0081,47QSEA19D0074,29520,29520,29520,29520,29520,29520,FAIRLESS HILLS,PA,FIRM FIXED PRICE,NOT BUNDLED,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,SMALL BUSINESS SET ASIDE - TOTAL,NO PREFERENCE USED,3,COMMERCIAL ITEM,f,NOT APPLICABLE,,f,f,f,f,f,f,f,f,f,f
CONT_IDV_EPS21602_6800,EPS21602,,0,50000,,,813704.34,7902107.66,,,LABOR HOURS,NOT A BUNDLED REQUIREMENT,LIBRARIES AND ARCHIVES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,8A COMPETED,NO PREFERENCE USED,13,COMMERCIAL ITEM,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,f,f,t,f,f,f
CONT_AWD_0019_6800_EPW13015_6800,0019,EPW13015,-9888.27,579244.66,-9888.27,721559.04,-9888.27,721559.04,CHARLOTTESVILLE,VA,TIME AND MATERIALS,NOT A BUNDLED REQUIREMENT,ENVIRONMENTAL CONSULTING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,YES,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC21F0397_6800_EPD16021_6800,68HERC21F0397,EPD16021,72789.95,72789.95,72789.95,72789.95,72789.95,72789.95,CORVALLIS,OR,FIRM FIXED PRICE,NOT BUNDLED,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH20C0002_6800_-NONE-_-NONE-,68HERH20C0002,,136433.72,1984333.72,20000,1984333.72,0,3999489.22,BETHESDA,MD,TIME AND MATERIALS,NOT BUNDLED,CUSTOM COMPUTER PROGRAMMING SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,8(A) SOLE SOURCE,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,t,t,t,t,f,t,f,f,f,f
CONT_AWD_68HERH21F0033_6800_68HERH20D0012_6800,68HERH21F0033,68HERH20D0012,100000,516500,100000,523500,100000,523500,PORT ARTHUR,TX,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,t,f,f,f,f,f
CONT_AWD_68HE0H18F1497_6800_EPW18015_6800,68HE0H18F1497,EPW18015,58774.92,4346612.23,0,6156283.01,0,7589354.01,WASHINGTON,DC,FIRM FIXED PRICE,NOT BUNDLED,COMPUTER FACILITIES MANAGEMENT SERVICES,NOT AVAILABLE FOR COMPETITION,ONLY ONE SOURCE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,f,f,f,f,t,f
CONT_AWD_68HE0521F0131_6800_EPS41602_6800,68HE0521F0131,EPS41602,220000,142409.69,220000,142409.69,220000,142409.69,SPRINGFIELD,MI,TIME AND MATERIALS,NOT BUNDLED,REMEDIATION SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,2,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH21F0029_6800_68HERH20D0008_6800,68HERH21F0029,68HERH20D0008,50000,161200,50000,161200,50000,161200,TUKWILA,WA,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_IDV_68HERC20D0020_6800,68HERC20D0020,,1292883,9563733,,,0,25820459.36,,,FIRM FIXED PRICE,NOT BUNDLED,FACILITIES SUPPORT SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,8A COMPETED,NO PREFERENCE USED,7,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,f,f,f,t,f,f,f,f,t,f
CONT_AWD_EP175000049_6800_-NONE-_-NONE-,EP175000049,,12867,59442,12867,59442,0,59442,CHICAGO,IL,FIRM FIXED PRICE,NOT BUNDLED,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERC21F0394_6800_68HERC20D0028_6800,68HERC21F0394,68HERC20D0028,48328.38,48328.38,48328.38,48328.38,48328.38,48328.38,DURHAM,NC,FIRM FIXED PRICE,NOT BUNDLED,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,NO,f,f,f,f,f,f,f,f,f,f
CONT_AWD_68HERH20P0061_6800_-NONE-_-NONE-,68HERH20P0061,,9500,23684,9500,23684,0,42684,ATLANTA,GA,FIRM FIXED PRICE,NOT BUNDLED,INSURANCE AGENCIES AND BROKERAGES,NOT COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,NO PREFERENCE USED,1,COMMERCIAL ITEM,f,NO - SERVICE WHERE PBA IS NOT USED.,,f,f,f,t,f,f,t,f,f,f
CONT_AWD_68HERH21F0045_6800_68HERH20D0011_6800,68HERH21F0045,68HERH20D0011,100000,9695033.45,100000,9913635.9,100000,9913635.9,MOUNTAINSIDE,NJ,FIRM FIXED PRICE,NOT BUNDLED,TESTING LABORATORIES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,,NO PREFERENCE USED,,COMMERCIAL ITEM PROCEDURES NOT USED,f,YES - SERVICE WHERE PBA IS USED.,NO,t,t,f,f,f,f,f,f,f,f
CONT_AWD_68HERC21F0400_6800_68HERC19D0014_6800,68HERC21F0400,68HERC19D0014,159661.16,159661.16,159661.16,159661.16,159661.16,159661.16,CINCINNATI,OH,FIRM FIXED PRICE,NOT BUNDLED,ENGINEERING SERVICES,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,NO PREFERENCE USED,3,COMMERCIAL ITEM PROCEDURES NOT USED,f,NO - SERVICE WHERE PBA IS NOT USED.,YES,f,f,f,t,f,f,f,t,f,f
